,epsilon_value,result,time,network,image,split
5,0.0039,UNSAT,10.248127698898315,gtsrb_7_1024_standard,image_33,test
6,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_33,test
7,0.0156,SAT,8.529683351516724,gtsrb_7_1024_standard,image_33,test
0,0.1989,SAT,8.446837186813354,gtsrb_7_1024_standard,image_12,test
1,0.0974999999999999,SAT,8.346237659454346,gtsrb_7_1024_standard,image_12,test
2,0.0467999999999999,SAT,8.203258514404297,gtsrb_7_1024_standard,image_12,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_12,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_12,test
5,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_12,test
6,0.0272999999999999,SAT,8.503145694732666,gtsrb_7_1024_standard,image_12,test
7,0.0039,UNSAT,9.995564222335815,gtsrb_7_1024_standard,image_12,test
8,0.0078,UNSAT,10.049269914627075,gtsrb_7_1024_standard,image_12,test
9,0.0116999999999999,UNSAT,81.63562512397766,gtsrb_7_1024_standard,image_12,test
0,0.1989,SAT,7.785135269165039,gtsrb_7_1024_standard,image_65,test
1,0.0974999999999999,SAT,9.102303981781006,gtsrb_7_1024_standard,image_65,test
2,0.0467999999999999,SAT,9.054736614227297,gtsrb_7_1024_standard,image_65,test
3,0.0195,SAT,8.286996603012085,gtsrb_7_1024_standard,image_65,test
4,0.0078,SAT,8.28105354309082,gtsrb_7_1024_standard,image_65,test
5,0.0,UNSAT,9.868347406387327,gtsrb_7_1024_standard,image_65,test
6,0.0039,UNSAT,961.8467738628387,gtsrb_7_1024_standard,image_65,test
0,0.1989,SAT,8.474348068237305,gtsrb_7_1024_standard,image_18,test
1,0.0974999999999999,SAT,8.350865364074707,gtsrb_7_1024_standard,image_18,test
2,0.0467999999999999,SAT,8.093916654586792,gtsrb_7_1024_standard,image_18,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_18,test
4,0.0233999999999999,SAT,7.905398368835449,gtsrb_7_1024_standard,image_18,test
5,0.0078,UNSAT,9.49708127975464,gtsrb_7_1024_standard,image_18,test
6,0.0116999999999999,UNSAT,9.70053744316101,gtsrb_7_1024_standard,image_18,test
7,0.0156,UNSAT,62.315518617630005,gtsrb_7_1024_standard,image_18,test
0,0.1989,SAT,7.603676080703735,gtsrb_7_1024_standard,image_81,test
1,0.0974999999999999,SAT,7.834420442581177,gtsrb_7_1024_standard,image_81,test
2,0.0467999999999999,SAT,7.618921279907227,gtsrb_7_1024_standard,image_81,test
3,0.0195,SAT,8.402902364730835,gtsrb_7_1024_standard,image_81,test
4,0.0078,SAT,8.526116847991943,gtsrb_7_1024_standard,image_81,test
5,0.0,UNSAT,9.68846035003662,gtsrb_7_1024_standard,image_81,test
6,0.0039,SAT,8.31714940071106,gtsrb_7_1024_standard,image_81,test
0,0.1989,SAT,9.236248254776,gtsrb_7_1024_standard,image_57,test
